threads,ops,time_s
1,400000000,0.070871
2,800000000,0.043123
3,1200000000,0.021935
4,1600000000,0.029412
5,2000000000,0.024073
6,2400000000,0.020755
7,2800000000,0.017963
8,3200000000,0.017144
