size_mb,bytes,time_s
32, 33554432, 0.000000
64, 67108864, 0.000000
96, 100663296, 0.000000
128, 134217728, 0.000000
160, 167772160, 0.000000
192, 201326592, 0.000000
224, 234881024, 0.000000
256, 268435456, 0.000000
